Gerado em;Categoria;Item;Tier;Encantamento;API ID;Melhor cidade compra;Menor preco compra;Black Market pedido venda;Black Market compra max;Lucro bruto;ROI %;Compra atualizada;Black Market venda atualizado;Black Market compra atualizado;Bridgewatch venda min;Caerleon venda min;Fort Sterling venda min;Lymhurst venda min;Martlock venda min;Thetford venda min
12/05/2026 17:50:23;armaduras;Armadura de Cavaleiro;T5;.0;T5_ARMOR_PLATE_SET2;Bridgewatch;8996;19215;18328;10219;113,59;2026-05-12T00:05:00;2026-05-12T20:35:00;2026-05-12T20:35:00;8996;16995;;;;9809
12/05/2026 17:50:23;armaduras;Armadura de Cavaleiro;T5;.1;T5_ARMOR_PLATE_SET2@1;Caerleon;48000;32234;31600;-15766;-32,85;2026-05-12T09:45:00;2026-05-12T20:20:00;2026-05-12T20:25:00;;48000;;;;
12/05/2026 17:50:23;armaduras;Armadura de Cavaleiro;T5;.2;T5_ARMOR_PLATE_SET2@2;Martlock;70994;99498;40416;28504;40,15;2026-05-11T23:35:00;2026-05-12T20:25:00;2026-05-12T20:25:00;;176996;;;70994;
12/05/2026 17:50:23;armaduras;Armadura de Cavaleiro;T5;.3;T5_ARMOR_PLATE_SET2@3;Bridgewatch;349857;;126300;;;2026-05-12T00:00:00;0001-01-01T00:00:00;2026-05-12T15:15:00;349857;;;;;
12/05/2026 17:50:23;armaduras;Armadura de Cavaleiro;T6;.0;T6_ARMOR_PLATE_SET2;Lymhurst;29830;39796;39184;9966;33,41;2026-05-12T13:15:00;2026-05-12T20:35:00;2026-05-12T20:35:00;;49195;;29830;;
12/05/2026 17:50:23;armaduras;Armadura de Cavaleiro;T6;.1;T6_ARMOR_PLATE_SET2@1;Caerleon;179985;;61887;;;2026-05-12T17:40:00;0001-01-01T00:00:00;2026-05-12T15:15:00;;179985;;;;
12/05/2026 17:50:23;armaduras;Armadura de Cavaleiro;T6;.2;T6_ARMOR_PLATE_SET2@2;Bridgewatch;229999;;328380;;;2026-05-12T17:55:00;0001-01-01T00:00:00;2026-05-12T15:15:00;229999;;;;;
12/05/2026 17:50:23;armaduras;Armadura de Cavaleiro;T6;.3;T6_ARMOR_PLATE_SET2@3;Caerleon;986981;;232438;;;2026-05-12T17:40:00;0001-01-01T00:00:00;2026-05-12T15:15:00;;986981;;;;
12/05/2026 17:50:23;armaduras;Armadura de Cavaleiro;T7;.0;T7_ARMOR_PLATE_SET2;Thetford;74999;98910;29049;23911;31,88;2026-05-12T12:40:00;2026-05-12T20:35:00;2026-05-12T20:35:00;;179999;;;;74999
12/05/2026 17:50:23;armaduras;Armadura de Cavaleiro;T7;.1;T7_ARMOR_PLATE_SET2@1;Fort Sterling;229998;313331;293016;83333;36,23;2026-05-12T18:40:00;2026-05-12T05:35:00;2026-05-12T15:15:00;;302990;229998;;;
12/05/2026 17:50:23;armaduras;Armadura de Cavaleiro;T7;.2;T7_ARMOR_PLATE_SET2@2;;;;778162;;;;0001-01-01T00:00:00;2026-05-12T15:15:00;;;;;;
12/05/2026 17:50:23;armaduras;Armadura de Cavaleiro;T7;.3;T7_ARMOR_PLATE_SET2@3;;;;1313780;;;;0001-01-01T00:00:00;2026-05-12T15:15:00;;;;;;
